iter	RMSE
0	0.7950555917
1	0.7904454716
2	0.7880979945
3	0.7863810181
4	0.7842950583
5	0.782860065
6	0.7816942967
7	0.7802084965
8	0.7777452135
9	0.7761642018
10	0.7741573561
11	0.7725722771
12	0.7712977039
13	0.7700955821
14	0.7676069226
15	0.7661306343
16	0.7648239797
17	0.7635073114
18	0.7618619398
19	0.7598726435
20	0.7581642183
21	0.7565005714
22	0.7552662752
23	0.7538554217
24	0.7526646997
25	0.7509873134
26	0.7490742654
27	0.7478689023
28	0.7463081568
29	0.7456688473
30	0.7442840003
31	0.741617573
32	0.7401460623
33	0.7391767478
34	0.738010762
35	0.7362057374
36	0.7340315997
37	0.7327951584
38	0.7313639311
39	0.7296482516
40	0.7281801143
41	0.7261647226
42	0.7247349182
43	0.7230219009
44	0.7213070055
45	0.7196757833
46	0.7183698022
47	0.7165307474
48	0.7152053151
49	0.7131883772
50	0.7123415681
51	0.7110281372
52	0.7097111513
53	0.7077314405
54	0.7063133751
55	0.7046100231
56	0.7037573293
57	0.7026477847
58	0.70141816
59	0.6999784673
60	0.6983002844
61	0.6965740673
62	0.6944415539
63	0.6928257416
64	0.6914426247
65	0.6904629703
66	0.689503926
67	0.6881066809
68	0.6864512068
69	0.6849357299
70	0.6836178673
71	0.6818562616
72	0.6807207687
73	0.6798388101
74	0.6782307674
75	0.67730205
76	0.6755293322
77	0.674121544
78	0.6728558582
79	0.6718633011
80	0.6702162504
81	0.6692003121
82	0.6675299283
83	0.6658878833
84	0.6650871932
85	0.6640440269
86	0.6622577953
87	0.661167083
88	0.6593488065
89	0.6577879517
90	0.6559720225
91	0.6542481653
92	0.653088925
93	0.6513354475
94	0.6494959536
95	0.6479424684
96	0.6470285422
97	0.6461294186
98	0.6451137681
99	0.6441832685
