iter	Passed	Remaining
0	1	126
1	2	125
2	3	121
3	4	117
4	6	115
5	7	113
6	8	110
7	9	109
8	10	108
9	11	106
10	12	104
11	14	103
12	15	102
13	16	101
14	17	100
15	18	99
16	20	99
17	21	99
18	23	98
19	24	97
20	25	97
21	27	96
22	28	94
23	29	94
24	30	92
25	32	91
26	33	90
27	34	89
28	35	88
29	37	86
30	38	85
31	39	84
32	40	83
33	42	82
34	43	81
35	45	80
36	46	79
37	47	77
38	48	76
39	50	75
40	51	74
41	53	73
42	54	72
43	55	70
44	56	69
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	64	62
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	72	54
57	73	53
58	74	51
59	76	50
60	77	49
61	78	48
62	79	46
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	89	38
70	90	37
71	92	35
72	93	34
73	94	33
74	95	31
75	97	30
76	98	29
77	99	28
78	100	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	117	10
92	118	8
93	119	7
94	120	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
