Dataset,Model,ks_statistic_mean,wasserstein_distance,mmd,correlation_similarity,ml_efficiency_gap_percent,authenticity
california_housing,ASBM,0.0918±0.0110,0.1065±0.0086,0.0758±0.0048,0.7934±0.0163,9.5295±3.7791,0.6837±0.0155
california_housing,DSBM,0.0670±0.0065,0.0837±0.0074,0.0411±0.0025,0.8724±0.0158,2.1324±0.4235,0.7484±0.0074
california_housing,DSBM-VAE,0.1941±0.0171,37.0722±3.8796,0.0206±0.0011,0.7316±0.0456,5.5988±0.9854,0.3723±0.0199
california_housing,XGBoost-DSBM,0.0532±0.0042,0.0843±0.0039,0.0774±0.0012,0.9569±0.0139,1.4661±0.3839,0.6099±0.0026
california_housing,TabSyn,0.1536±0.0182,30.7811±5.5472,0.0192±0.0013,0.7605±0.0247,5.9369±0.7094,0.4239±0.0179
diabetes,ASBM,0.1534±0.0117,0.2272±0.0331,0.1355±0.0026,0.8907±0.0190,161.0324±82.9862,0.6074±0.0341
diabetes,DSBM,0.1410±0.0075,0.1784±0.0129,0.1245±0.0037,0.8877±0.0197,705.7523±1095.9649,0.5679±0.0294
diabetes,DSBM-VAE,0.3334±0.0176,0.0232±0.0017,0.0163±0.0021,0.3287±0.0419,367.0852±601.7856,0.6028±0.1603
diabetes,XGBoost-DSBM,0.1634±0.0107,0.2297±0.0232,0.1318±0.0060,0.8714±0.0164,743.5373±1136.3836,0.6403±0.0297
diabetes,TabSyn,0.3317±0.0086,0.0263±0.0009,0.0187±0.0023,0.3505±0.0450,219.3812±121.9337,0.5931±0.2080
king_county_housing,ASBM,0.2666±0.0151,0.2478±0.0175,0.0676±0.0029,0.9017±0.0125,19.9049±12.5648,0.9213±0.0070
king_county_housing,DSBM,0.2760±0.0058,0.3245±0.0090,0.0809±0.0024,0.9234±0.0070,35.7049±7.1463,0.9725±0.0007
king_county_housing,DSBM-VAE,0.3777±0.0123,417.7086±30.7890,0.0170±0.0000,0.8054±0.0045,14.4930±6.2843,0.4805±0.0408
king_county_housing,XGBoost-DSBM,0.2280±0.0011,0.1599±0.0061,0.0592±0.0005,0.9449±0.0051,15.6260±11.9049,0.6841±0.0082
king_county_housing,TabSyn,0.3318±0.0198,378.2254±56.4565,0.0170±0.0000,0.8237±0.0130,12.2410±4.0410,0.5385±0.0390
adult_numeric,ASBM,0.2533±0.0053,0.2927±0.0108,0.0797±0.0055,0.9061±0.0209,106.9833±99.3972,0.9109±0.0081
adult_numeric,DSBM,0.2812±0.0172,0.2891±0.0186,0.0776±0.0053,0.9416±0.0061,69.6842±19.4545,0.8947±0.0124
adult_numeric,DSBM-VAE,0.4595±0.0269,8.7955±0.2888,0.0576±0.0057,0.6230±0.0160,282.1000±334.8400,0.8777±0.0498
adult_numeric,XGBoost-DSBM,0.2480±0.0021,0.1125±0.0098,0.0556±0.0034,0.9430±0.0089,101.4190±47.8877,0.4820±0.0167
adult_numeric,TabSyn,0.4583±0.0181,8.7385±0.4361,0.0445±0.0032,0.5988±0.0742,149.9961±81.4860,0.8753±0.0566
bank_marketing,ASBM,0.2113±0.0351,0.1733±0.0369,0.1074±0.0387,0.9029±0.0260,45.6989±37.8726,0.6657±0.0312
bank_marketing,DSBM,0.1598±0.0034,0.1201±0.0072,0.0503±0.0034,0.9727±0.0059,28.0029±39.8046,0.6369±0.0088
bank_marketing,DSBM-VAE,0.4101±0.0222,219.7829±37.4924,0.0354±0.0198,0.6700±0.0594,162.0896±113.2627,0.3741±0.0327
bank_marketing,XGBoost-DSBM,0.1636±0.0020,0.1022±0.0015,0.0776±0.0062,0.9723±0.0030,45.0331±37.6667,0.5109±0.0064
bank_marketing,TabSyn,0.3424±0.0373,278.5382±103.4030,0.0250±0.0000,0.6323±0.0456,377.5067±325.4434,0.5210±0.0137
online_shoppers,ASBM,0.3287±0.0109,0.2033±0.0176,0.0721±0.0083,0.9358±0.0059,138.7364±148.9455,0.8570±0.0289
online_shoppers,DSBM,0.2905±0.0031,0.2432±0.0097,0.0737±0.0035,0.9490±0.0125,39.8887±29.5318,0.9461±0.0026
online_shoppers,DSBM-VAE,0.5112±0.0206,38.2159±5.2698,0.0257±0.0010,0.7482±0.0383,223.1926±342.1669,0.4935±0.0366
online_shoppers,XGBoost-DSBM,0.2741±0.0010,0.1528±0.0064,0.1113±0.0040,0.9374±0.0133,58.0391±25.2364,0.5910±0.0114
online_shoppers,TabSyn,0.4329±0.0291,68.1826±36.2261,0.0250±0.0005,0.6911±0.0506,1162.4334±1158.5591,0.7002±0.0751
covertype,ASBM,0.6230±0.1902,1726925769911476224.0000±3453851539822952448.0000,0.0555±0.0007,0.5817±0.3007,inf±nan,0.9999±0.0002
covertype,DSBM,0.5352±0.0165,0.2537±0.0025,0.0669±0.0023,0.8965±0.0042,100.9743±3.2315,0.9988±0.0005
covertype,DSBM-VAE,0.5836±0.0155,34.8724±1.3693,0.0250±0.0000,0.8210±0.0185,130.1151±61.8395,0.4981±0.1070
covertype,XGBoost-DSBM,0.4259±0.0013,0.1966±0.0036,0.0621±0.0021,0.9406±0.0044,138.0898±107.4083,0.8788±0.0073
covertype,TabSyn,0.4985±0.0139,22.4250±9.4451,0.0250±0.0000,0.8417±0.0121,447.1053±361.4470,0.5924±0.0330
german_credit,ASBM,0.2982±0.0210,0.3551±0.0463,0.1602±0.0318,0.8768±0.0199,107.1798±97.2271,0.5980±0.0464
german_credit,DSBM,0.1955±0.0096,0.1843±0.0132,0.0824±0.0040,0.9215±0.0208,77.7547±30.5724,0.5400±0.0451
german_credit,DSBM-VAE,0.4923±0.0293,214.9295±79.4548,0.1430±0.0634,0.2243±0.1119,97.3645±18.5162,0.3190±0.1620
german_credit,XGBoost-DSBM,0.2127±0.0123,0.1960±0.0238,0.1142±0.0020,0.9171±0.0261,51.0726±39.7333,0.4783±0.0420
german_credit,TabSyn,0.4357±0.0554,211.9051±48.5439,0.0814±0.0016,0.4627±0.1258,30.1409±31.4899,0.3120±0.0357
